Pentagons
PENT
0,0,G 3,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,1
0,G 3,1,3,0,0,1,0,1,0,0,3,0,1,1,1,3,0,0,0
0,0,G 3,0,0,1,0,1,1,0,0,0,3,1,0,0,0,3,0,0
1,1,G 3,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,3,0
3,0,0,0,0,1,0,0,3,0,0,1,0,3,0,0,0,G 3,0,1
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,3,0,0,G 3,0
1,3,0,3,0,1,0,1,0,0,1,3,0,1,0,G 3,0,1,0,1
0,1,G 3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
0,F 1,0,0,0,0,0,F 1,G 3,1,0,1,0,0,F 1,1,0,F 1,0,0
1,0,0,0,1,G 3,0,0,0,3,3,1,3,0,3,0,3,0,3,0
0,G 3,0,3,0,3,0,3,1,1,3,0,3,0,0,0,0,0,0,0
1,0,0,0,0,1,F 1,0,3,0,0,3,F 1,0,0,0,0,G 3,0,3
